,country,region,lead_investors,company_link,img_src,company_name,post_money_value,total_eq_funding
162,Germany,Europe,General Catalyst,https://www.crunchbase.com/organization/helsing,https://images.crunchbase.com/image/upload/t_cb-default-original/z2heyrhvrvm8llyabdf0,Helsing,$5B,$829M
163,Germany,Europe,Ontario Teachers' Pension Plan,https://www.crunchbase.com/organization/trade-republic,https://images.crunchbase.com/image/upload/t_cb-default-original/q4dfpzwzag23ykfed7ie,Trade Republic,$5B,$1B
164,United States,North America,"Kanematsu Corporation, MUFG Bank",https://www.crunchbase.com/organization/sierra-space,https://images.crunchbase.com/image/upload/t_cb-default-original/mfxsiwnrs8ooclnjbdxw,Sierra Space,$5B,$2B
165,United States,North America,JP Morgan Chase,https://www.crunchbase.com/organization/honeywell-quantum-solutions,https://images.crunchbase.com/image/upload/t_cb-default-original/qcvne1f5bgwe8lrjfz52,Quantinuum,$5B,$300M
166,Colombia,South America,T. Rowe Price,https://www.crunchbase.com/organization/rappi,https://images.crunchbase.com/image/upload/t_cb-default-original/maer84ih5rzgjctucefq,Rappi,$5B,$2B
167,Belgium,Europe,"Sequoia Capital Global Equities, Sofina",https://www.crunchbase.com/organization/collibra,https://images.crunchbase.com/image/upload/t_cb-default-original/yrh4ffcjynusx5wkhzyx,Collibra,$5B,$597M
168,United States,North America,"Capricorn Investment Group, Goldman Sachs Asset Management",https://www.crunchbase.com/organization/redwood-materials-3,https://images.crunchbase.com/image/upload/t_cb-default-original/wva2bxr87ghpqikpgiw3,Redwood Materials,$5B,$2B
169,China,Asia,China Structural Reform Fund,https://www.crunchbase.com/organization/xiaodu-tech,https://images.crunchbase.com/image/upload/t_cb-default-original/xutrvlkgy7kciyh7ciku,Xiaodu,$5B,$0
170,United States,North America,"Blue Owl, MSD Partners",https://www.crunchbase.com/organization/6sense,https://images.crunchbase.com/image/upload/t_cb-default-original/vncfs4sakwmjtwcvir47,6sense,$5B,$426M
171,South Africa,Africa,Mastercard,https://www.crunchbase.com/organization/mtn-group-fintech,https://images.crunchbase.com/image/upload/t_cb-default-original/dn88caeqigb0we6hyu29,MTN Group Fintech,$5B,$199M
172,United Kingdom,Europe,CapitalG,https://www.crunchbase.com/organization/monzo,https://images.crunchbase.com/image/upload/t_cb-default-original/bdjef4gbpwxynfcvvngr,Monzo,$5B,$2B
173,Brazil,South America,4equity - Media Ventures,https://www.crunchbase.com/organization/quintoandar,https://images.crunchbase.com/image/upload/t_cb-default-original/nlze58xvkgonqbni8wv0,QuintoAndar,$5B,$755M
174,China,Asia,China Development Bank Capital,https://www.crunchbase.com/organization/werideai,https://images.crunchbase.com/image/upload/t_cb-default-original/kbkg5n7zdpydu86hhctk,WeRide,$5B,$1B
175,United States,North America,Wellington Management,https://www.crunchbase.com/organization/abnormal-security,https://images.crunchbase.com/image/upload/t_cb-default-original/ipr78axi36zqchykrllp,Abnormal Security,$5B,$534M
